Anio;Codigo_Biblioteca_REBIUN;Biblioteca;Eje;Nombre_Eje;Apartado;Nombre_Apartado;Codigo_REBIUN;Codigo_Tecnico;Indicador;Valor
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.2.3;NPETPRESTNAC;Biblioteca como centro proveedor. Peticiones de préstamo servidas [positivas] a bibliotecas nacionales;518
2020;20;Consejo Superior de Investigaciones Científicas;7;Cooperación, Extensión y Comunicación;7.1;Préstamo Interbibliotecario;7.1.2.4;NPETPRESTEXTRANJ;Biblioteca como centro proveedor. Peticiones de préstamos servidas [positivas] a bibliotecas extranjeras;19
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.1;Gasto en recursos de información (€);9.1;GASTORECINFO;Gasto en recursos de información;9746245.01
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.1;Gasto en recursos de información (€);9.1.1;GASTOMONPAPEL;Gasto dedicado a la compra de monografías en papel;394339.95
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.1;Gasto en recursos de información (€);9.1.2;GASTOMAUDIOYNOLIB;Gasto dedicado a la compra de audiovisuales y material no librario;461.53
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.1;Gasto en recursos de información (€);9.1.3;GASTOPPPAPEL;Gasto dedicado a la suscripción de publicaciones periódicas en papel;681848.3
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.1;Gasto en recursos de información (€);9.1.4;GASTOMONELECPAGO;Gasto dedicado a monografías electrónicas de pago;224357.41
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.1;Gasto en recursos de información (€);9.1.5;GASTOPPELECPAGO;Gasto dedicado a publicaciones periódicas electrónicas de pago;7626313.29
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.1;Gasto en recursos de información (€);9.1.6;GASTOBBDDPAGO;Gasto dedicado a bases de datos de pago;818924.53
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.2;Gasto en información electrónica;9.2;GASTOINFOELECT;Gasto en información electrónica;8669595.23
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.3;Porcentaje del gasto en fondo bibliográfico a cargo de financiación externa;9.3;PGASTOFINEXT;Porcentaje del gasto en fondo bibliográfico a cargo de financiación externa de la universidad;0
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.4;Coste total del personal (€);9.4;COSTETOTPERS;Coste total del personal;5045356.14
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.4;Coste total del personal (€);9.4.1;COSTEBIBPROFES;Coste de bibliotecarios;3078977.69
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.4;Coste total del personal (€);9.4.2;COSTEAUXBIB;Coste de auxiliares de biblioteca;1966378.45
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.4;Coste total del personal (€);9.4.3;COSTEBECAESTUD;Coste de estudiantes becarios y asimilados;0
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.4;Coste total del personal (€);9.4.4;COSTEPERSESP;Coste del personal especializado;0
2020;20;Consejo Superior de Investigaciones Científicas;9;Gasto;9.4;Coste total del personal (€);9.4.5;COSTEPERSADMIN;Coste del personal administrativo;0
2020;31;IE Universidad;1;Personas usuarias;1.1;Personas usuarias propias;1.1;NUSUARIOPROP;Usuarios propios;8270
2020;31;IE Universidad;1;Personas usuarias;1.2;Estudiantes;1.2;NESTUDIANTES;Estudiantes;6979
2020;31;IE Universidad;1;Personas usuarias;1.2;Estudiantes;1.2.1;NESTGRADO;Estudiantes de grado;3684
2020;31;IE Universidad;1;Personas usuarias;1.2;Estudiantes;1.2.2;NESTPOSGRADO;Estudiantes de posgrado;3295
