Codigo_Tecnico;Codigo_REBIUN_Referencia;Indicador_Referencia;Eje_Referencia;Nombre_Eje_Referencia;Apartado_Referencia;Nombre_Apartado_Referencia;Primer_Anio;Ultimo_Anio;Cambio_Codigo_REBIUN;Cambio_Denominacion;Codigos_REBIUN_Historicos;Denominaciones_Historicas
NSALASGRUPO;3.3.3;Puestos en salas para trabajo en grupo;3;Locales;3.3;Puestos de lectura;2020;2025;No;No;2020:3.3.3 | 2021:3.3.3 | 2022:3.3.3 | 2023:3.3.3 | 2024:3.3.3 | 2025:3.3.3;2020:Puestos en salas para trabajo en grupo | 2021:Puestos en salas para trabajo en grupo | 2022:Puestos en salas para trabajo en grupo | 2023:Puestos en salas para trabajo en grupo | 2024:Puestos en salas para trabajo en grupo | 2025:Puestos en salas para trabajo en grupo
NPUESTOSDISCAP;3.3.4;Puestos equipados para personas con discapacidad;3;Locales;3.3;Puestos de lectura;2020;2025;No;No;2020:3.3.4 | 2021:3.3.4 | 2022:3.3.4 | 2023:3.3.4 | 2024:3.3.4 | 2025:3.3.4;2020:Puestos equipados para personas con discapacidad | 2021:Puestos equipados para personas con discapacidad | 2022:Puestos equipados para personas con discapacidad | 2023:Puestos equipados para personas con discapacidad | 2024:Puestos equipados para personas con discapacidad | 2025:Puestos equipados para personas con discapacidad
NESTANTES;3.4;Estanterías;3;Locales;3.4;Estanterías (metros lineales);2020;2025;No;No;2020:3.4 | 2021:3.4 | 2022:3.4 | 2023:3.4 | 2024:3.4 | 2025:3.4;2020:Estanterías | 2021:Estanterías | 2022:Estanterías | 2023:Estanterías | 2024:Estanterías | 2025:Estanterías
NESTLIBREACC;3.4.1;Estanterías libre acceso;3;Locales;3.4;Estanterías (metros lineales);2020;2025;No;No;2020:3.4.1 | 2021:3.4.1 | 2022:3.4.1 | 2023:3.4.1 | 2024:3.4.1 | 2025:3.4.1;2020:Estanterías libre acceso | 2021:Estanterías libre acceso | 2022:Estanterías libre acceso | 2023:Estanterías libre acceso | 2024:Estanterías libre acceso | 2025:Estanterías libre acceso
NESTDEPOSITO;3.4.2;Estanterías depósito;3;Locales;3.4;Estanterías (metros lineales);2020;2025;No;No;2020:3.4.2 | 2021:3.4.2 | 2022:3.4.2 | 2023:3.4.2 | 2024:3.4.2 | 2025:3.4.2;2020:Estanterías depósito | 2021:Estanterías depósito | 2022:Estanterías depósito | 2023:Estanterías depósito | 2024:Estanterías depósito | 2025:Estanterías depósito
NPCPUBLICO;4.1;Parque informático para uso público;4;Equipamiento;4.1;Parque informático para uso público;2020;2025;No;No;2020:4.1 | 2021:4.1 | 2024:4.1 | 2025:4.1;2020:Parque informático para uso público | 2021:Parque informático para uso público | 2024:Parque informático para uso público | 2025:Parque informático para uso público
NPCPUBLICONBIBLIOS;4.1;Parque informático para uso público;4;Equipamiento;4.1;Parque informático para uso público;2022;2023;No;No;2022:4.1 | 2023:4.1;2022:Parque informático para uso público | 2023:Parque informático para uso público
NPCFIJOS;4.1.1;Equipos informáticos de sobremesa para uso público;4;Equipamiento;4.1;Parque informático para uso público;2022;2025;No;No;2022:4.1.1 | 2023:4.1.1 | 2024:4.1.1 | 2025:4.1.1;2022:Equipos informáticos de sobremesa para uso público | 2023:Equipos informáticos de sobremesa para uso público | 2024:Equipos informáticos de sobremesa para uso público | 2025:Equipos informáticos de sobremesa para uso público
NPCPORT;4.1.2;Equipos informáticos portátiles para préstamo de personas usuarias;4;Equipamiento;4.1;Parque informático para uso público;2022;2025;No;Sí;2022:4.1.2 | 2023:4.1.2 | 2024:4.1.2 | 2025:4.1.2;2022:Equipos informáticos portátiles para préstamo de usuarios | 2023:Equipos informáticos portátiles para préstamo de personas usuarias | 2024:Equipos informáticos portátiles para préstamo de personas usuarias | 2025:Equipos informáticos portátiles para préstamo de personas usuarias
NMAQAUTO;4.2;Máquinas de autopréstamo/autodevolución;4;Equipamiento;4.2;Máquinas de autopréstamo/autodevolución;2020;2025;No;No;2020:4.2 | 2021:4.2 | 2022:4.2 | 2023:4.2 | 2024:4.2 | 2025:4.2;2020:Máquinas de autopréstamo/autodevolución | 2021:Máquinas de autopréstamo/autodevolución | 2022:Máquinas de autopréstamo/autodevolución | 2023:Máquinas de autopréstamo/autodevolución | 2024:Máquinas de autopréstamo/autodevolución | 2025:Máquinas de autopréstamo/autodevolución
NMAQAUTODOC;4.2.1;Máquinas de autopréstamo/autodevolución de documentos;4;Equipamiento;4.2;Máquinas de autopréstamo/autodevolución;2022;2025;No;No;2022:4.2.1 | 2023:4.2.1 | 2024:4.2.1 | 2025:4.2.1;2022:Máquinas de autopréstamo/autodevolución de documentos | 2023:Máquinas de autopréstamo/autodevolución de documentos | 2024:Máquinas de autopréstamo/autodevolución de documentos | 2025:Máquinas de autopréstamo/autodevolución de documentos
NMAQAUTOPORT;4.2.2;Máquinas de autopréstamo/autodevolución de equipos informáticos portátiles;4;Equipamiento;4.2;Máquinas de autopréstamo/autodevolución;2022;2025;No;No;2022:4.2.2 | 2023:4.2.2 | 2024:4.2.2 | 2025:4.2.2;2022:Máquinas de autopréstamo/autodevolución de equipos informáticos portátiles | 2023:Máquinas de autopréstamo/autodevolución de equipos informáticos portátiles | 2024:Máquinas de autopréstamo/autodevolución de equipos informáticos portátiles | 2025:Máquinas de autopréstamo/autodevolución de equipos informáticos portátiles
NTITMONOGPAP;5.1.1;Títulos de monografías en papel;5;Colecciones;5.1;Monografías en papel;2020;2025;No;No;2020:5.1.1 | 2021:5.1.1 | 2022:5.1.1 | 2023:5.1.1 | 2024:5.1.1 | 2025:5.1.1;2020:Títulos de monografías en papel | 2021:Títulos de monografías en papel | 2022:Títulos de monografías en papel | 2023:Títulos de monografías en papel | 2024:Títulos de monografías en papel | 2025:Títulos de monografías en papel
NITEMPAPINFOR;5.1.2;Ítems de monografías en papel;5;Colecciones;5.1;Monografías en papel;2020;2025;No;Sí;2020:5.1.2 | 2021:5.1.2 | 2022:5.1.2 | 2023:5.1.2 | 2024:5.1.2 | 2025:5.1.2;2020:Ítems de monografías en papel informatizados | 2021:Ítems de monografías en papel | 2022:Ítems de monografías en papel | 2023:Ítems de monografías en papel | 2024:Ítems de monografías en papel | 2025:Ítems de monografías en papel
NMONPAPINGRES;5.1.3;Ítems de monografías en papel ingresados durante el año analizado;5;Colecciones;5.1;Monografías en papel;2020;2025;No;Sí;2020:5.1.3 | 2021:5.1.3 | 2022:5.1.3 | 2023:5.1.3 | 2024:5.1.3 | 2025:5.1.3;2020:Ítems de monografías en papel ingresados e informatizados durante el año en curso | 2021:Ítems de monografías en papel ingresados e informatizados durante el año en curso | 2022:Ítems de monografías en papel ingresados e informatizados durante el año en curso | 2023:Ítems de monografías en papel ingresados e informatizados durante el año en curso | 2024:Ítems de monografías en papel ingresados e informatizados durante el año en curso | 2025:Ítems de monografías en papel ingresados durante el año analizado
NMONPCOMPRA;5.1.3.1;Ítems de monografías en papel ingresados durante el año analizado Por compra;5;Colecciones;5.1;Monografías en papel;2020;2025;No;Sí;2020:5.1.3.1 | 2021:5.1.3.1 | 2022:5.1.3.1 | 2023:5.1.3.1 | 2024:5.1.3.1 | 2025:5.1.3.1;2020:Por compra | 2021:Por compra | 2022:Por compra | 2023:Ítems de monografías en papel ingresados e informatizados durante el año en curso Por compra | 2024:Ítems de monografías en papel ingresados e informatizados durante el año en curso Por compra | 2025:Ítems de monografías en papel ingresados durante el año analizado Por compra
NMONPDONAT;5.1.3.2;Ítems de monografías en papel ingresados durante el año analizado por donativo o intercambio;5;Colecciones;5.1;Monografías en papel;2020;2025;No;Sí;2020:5.1.3.2 | 2021:5.1.3.2 | 2022:5.1.3.2 | 2023:5.1.3.2 | 2024:5.1.3.2 | 2025:5.1.3.2;2020:Por donativo o intercambio | 2021:Por donativo o intercambio | 2022:Por donativo o intercambio | 2023:Ítems de monografías en papel ingresados e informatizados durante el año en curso Por donativo o intercambio | 2024:Ítems de monografías en papel ingresados e informatizados durante el año en curso Por donativo o intercambio | 2025:Ítems de monografías en papel ingresados durante el año analizado por donativo o intercambio
NTMONAUDIONOLIB;5.2.1;Títulos de audiovisuales y material no librario;5;Colecciones;5.2;Audiovisuales y material no librario;2020;2025;No;No;2020:5.2.1 | 2021:5.2.1 | 2022:5.2.1 | 2023:5.2.1 | 2024:5.2.1 | 2025:5.2.1;2020:Títulos de audiovisuales y material no librario | 2021:Títulos de audiovisuales y material no librario | 2022:Títulos de audiovisuales y material no librario | 2023:Títulos de audiovisuales y material no librario | 2024:Títulos de audiovisuales y material no librario | 2025:Títulos de audiovisuales y material no librario
NITEMONAUDIONOLIB;5.2.2;Ítems de audiovisuales y material no librario;5;Colecciones;5.2;Audiovisuales y material no librario;2020;2025;No;No;2020:5.2.2 | 2021:5.2.2 | 2022:5.2.2 | 2023:5.2.2 | 2024:5.2.2 | 2025:5.2.2;2020:Ítems de audiovisuales y material no librario | 2021:Ítems de audiovisuales y material no librario | 2022:Ítems de audiovisuales y material no librario | 2023:Ítems de audiovisuales y material no librario | 2024:Ítems de audiovisuales y material no librario | 2025:Ítems de audiovisuales y material no librario
NMAUDIONOLIBINGRES;5.2.3;Ítems de audiovisuales y material no librario ingresados durante el año analizado;5;Colecciones;5.2;Audiovisuales y material no librario;2020;2025;No;Sí;2020:5.2.3 | 2021:5.2.3 | 2022:5.2.3 | 2023:5.2.3 | 2024:5.2.3 | 2025:5.2.3;2020:Ítems de audiovisuales y material no librario ingresados e informatizados durante el año en curso | 2021:Ítems de audiovisuales y material no librario ingresados e informatizados durante el año en curso | 2022:Ítems de audiovisuales y material no librario ingresados e informatizados durante el año en curso | 2023:Ítems de audiovisuales y material no librario ingresados e informatizados durante el año en curso | 2024:Ítems de audiovisuales y material no librario ingresados e informatizados durante el año en curso | 2025:Ítems de audiovisuales y material no librario ingresados durante el año analizado
NMONAUDIONOLIBCOMPRA;5.2.3.1;Items (ejemplares) de monografías audiovisuales y material no librario adquiridos Por compra;5;Colecciones;5.2;Audiovisuales y material no librario;2020;2025;No;Sí;2020:5.2.3.1 | 2021:5.2.3.1 | 2022:5.2.3.1 | 2023:5.2.3.1 | 2024:5.2.3.1 | 2025:5.2.3.1;2020:Por compra | 2021:Por compra | 2022:Por compra | 2023:Items (ejemplares) de monografías audiovisuales y material no librario adquiridos Por compra | 2024:Items (ejemplares) de monografías audiovisuales y material no librario adquiridos Por compra | 2025:Items (ejemplares) de monografías audiovisuales y material no librario adquiridos Por compra
NMONAUDIONOLIBDONAT;5.2.3.3;Items (ejemplares) de monografías audiovisuales y material no librario adquiridos Por donativo o intercambio;5;Colecciones;5.2;Audiovisuales y material no librario;2020;2025;No;Sí;2020:5.2.3.3 | 2021:5.2.3.3 | 2022:5.2.3.3 | 2023:5.2.3.3 | 2024:5.2.3.3 | 2025:5.2.3.3;2020:Por donativo o intercambio | 2021:Por donativo o intercambio | 2022:Por donativo o intercambio | 2023:Items (ejemplares) de monografías audiovisuales y material no librario adquiridos Por donativo o intercambio | 2024:Items (ejemplares) de monografías audiovisuales y material no librario adquiridos Por donativo o intercambio | 2025:Items (ejemplares) de monografías audiovisuales y material no librario adquiridos Por donativo o intercambio
NTITPPPAPEL;5.3.1;Títulos de publicaciones periódicas en papel;5;Colecciones;5.3;Publicaciones periódicas en papel;2020;2025;No;No;2020:5.3.1 | 2021:5.3.1 | 2022:5.3.1 | 2023:5.3.1 | 2024:5.3.1 | 2025:5.3.1;2020:Títulos de publicaciones periódicas en papel | 2021:Títulos de publicaciones periódicas en papel | 2022:Títulos de publicaciones periódicas en papel | 2023:Títulos de publicaciones periódicas en papel | 2024:Títulos de publicaciones periódicas en papel | 2025:Títulos de publicaciones periódicas en papel
